Distance,RayParameter,TravelTime
159.2,4.344,1237.13
159.3,4.346,1237.57
159.4,4.347,1238.00
159.5,4.349,1238.44
159.6,4.350,1238.87
159.7,4.352,1239.31
159.8,4.353,1239.74
159.9,4.354,1240.18
160,4.356,1240.61
160.1,4.357,1241.05
160.2,4.358,1241.49
160.3,4.359,1241.92
160.4,4.361,1242.36
160.5,4.362,1242.79
160.6,4.363,1243.23
160.7,4.364,1243.67
160.8,4.365,1244.10
160.9,4.366,1244.54
161,4.368,1244.98
161.1,4.369,1245.41
161.2,4.370,1245.85
161.3,4.371,1246.29
161.4,4.372,1246.72
161.5,4.373,1247.16
161.6,4.374,1247.60
161.7,4.375,1248.04
161.8,4.376,1248.47
161.9,4.377,1248.91
162,4.378,1249.35
162.1,4.379,1249.79
162.2,4.380,1250.23
162.3,4.381,1250.66
162.4,4.382,1251.10
162.5,4.383,1251.54
162.6,4.384,1251.98
162.7,4.385,1252.42
162.8,4.386,1252.86
162.9,4.387,1253.29
163,4.388,1253.73
163.1,4.389,1254.17
163.2,4.390,1254.61
163.3,4.391,1255.05
163.4,4.392,1255.49
163.5,4.393,1255.93
163.6,4.394,1256.37
163.7,4.394,1256.81
163.8,4.395,1257.25
163.9,4.396,1257.69
164,4.397,1258.13
164.1,4.398,1258.57
164.2,4.399,1259.01
164.3,4.399,1259.45
164.4,4.400,1259.89
164.5,4.401,1260.33
164.6,4.402,1260.77
164.7,4.402,1261.21
164.8,4.403,1261.65
164.9,4.404,1262.09
165,4.405,1262.53
165.1,4.405,1262.97
165.2,4.406,1263.41
165.3,4.407,1263.85
165.4,4.407,1264.29
165.5,4.408,1264.73
165.6,4.409,1265.17
165.7,4.410,1265.61
165.8,4.410,1266.05
165.9,4.411,1266.49
166,4.412,1266.93
166.1,4.412,1267.38
166.2,4.413,1267.82
166.3,4.413,1268.26
166.4,4.414,1268.70
166.5,4.415,1269.14
166.6,4.415,1269.58
166.7,4.416,1270.02
166.8,4.416,1270.47
166.9,4.417,1270.91
167,4.418,1271.35
167.1,4.418,1271.79
167.2,4.419,1272.23
167.3,4.419,1272.67
167.4,4.420,1273.12
167.5,4.420,1273.56
167.6,4.421,1274.00
167.7,4.421,1274.44
167.8,4.422,1274.89
167.9,4.422,1275.33
168,4.423,1275.77
168.1,4.423,1276.21
168.2,4.424,1276.65
168.3,4.424,1277.10
168.4,4.425,1277.54
168.5,4.425,1277.98
168.6,4.426,1278.42
168.7,4.426,1278.87
168.8,4.427,1279.31
168.9,4.427,1279.75
169,4.428,1280.19
169.1,4.428,1280.64
169.2,4.428,1281.08
169.3,4.429,1281.52
169.4,4.429,1281.97
169.5,4.430,1282.41
169.6,4.430,1282.85
169.7,4.431,1283.30
169.8,4.431,1283.74
169.9,4.431,1284.18
170,4.432,1284.62
170.1,4.432,1285.07
170.2,4.432,1285.51
170.3,4.433,1285.95
170.4,4.433,1286.40
170.5,4.433,1286.84
