Distance,RayParameter,TravelTime
26.9,2.364,544.89
27,2.371,545.13
27.1,2.379,545.37
27.2,2.386,545.61
27.3,2.393,545.84
27.4,2.400,546.08
27.5,2.408,546.32
27.6,2.415,546.57
27.7,2.422,546.81
27.8,2.429,547.05
27.9,2.437,547.29
28,2.444,547.54
28.1,2.451,547.78
28.2,2.458,548.03
28.3,2.465,548.27
28.4,2.472,548.52
28.5,2.479,548.77
28.6,2.486,549.02
28.7,2.494,549.27
28.8,2.501,549.51
28.9,2.508,549.77
29,2.515,550.02
29.1,2.522,550.27
29.2,2.529,550.52
29.3,2.536,550.77
29.4,2.543,551.03
29.5,2.550,551.28
29.6,2.556,551.54
29.7,2.563,551.79
29.8,2.570,552.05
29.9,2.577,552.31
30,2.584,552.57
30.1,2.591,552.82
30.2,2.598,553.08
30.3,2.605,553.34
30.4,2.611,553.61
30.5,2.618,553.87
30.6,2.625,554.13
30.7,2.632,554.39
30.8,2.639,554.66
30.9,2.645,554.92
31,2.652,555.18
31.1,2.659,555.45
31.2,2.665,555.72
31.3,2.672,555.98
31.4,2.679,556.25
31.5,2.685,556.52
31.6,2.692,556.79
31.7,2.699,557.06
31.8,2.705,557.33
31.9,2.712,557.60
32,2.719,557.87
32.1,2.725,558.14
32.2,2.732,558.41
32.3,2.738,558.69
32.4,2.745,558.96
32.5,2.751,559.24
32.6,2.758,559.51
32.7,2.764,559.79
32.8,2.771,560.07
32.9,2.777,560.34
33,2.784,560.62
33.1,2.790,560.90
33.2,2.796,561.18
33.3,2.803,561.46
33.4,2.809,561.74
33.5,2.816,562.02
33.6,2.822,562.30
33.7,2.828,562.58
33.8,2.835,562.87
33.9,2.841,563.15
34,2.847,563.44
34.1,2.853,563.72
34.2,2.860,564.01
34.3,2.866,564.29
34.4,2.872,564.58
34.5,2.878,564.87
34.6,2.885,565.16
34.7,2.891,565.44
34.8,2.897,565.73
34.9,2.903,566.02
35,2.909,566.31
35.1,2.915,566.61
35.2,2.921,566.90
35.3,2.927,567.19
35.4,2.934,567.48
35.5,2.940,567.78
35.6,2.946,568.07
35.7,2.952,568.37
35.8,2.958,568.66
35.9,2.964,568.96
36,2.970,569.25
36.1,2.976,569.55
36.2,2.982,569.85
36.3,2.988,570.15
36.4,2.993,570.45
36.5,2.999,570.75
36.6,3.005,571.05
36.7,3.011,571.35
36.8,3.017,571.65
36.9,3.023,571.95
37,3.029,572.25
37.1,3.035,572.56
37.2,3.040,572.86
37.3,3.046,573.16
37.4,3.052,573.47
37.5,3.058,573.77
37.6,3.063,574.08
37.7,3.069,574.39
37.8,3.075,574.69
37.9,3.081,575.00
38,3.086,575.31
38.1,3.092,575.62
38.2,3.098,575.93
38.3,3.103,576.24
38.4,3.109,576.55
38.5,3.115,576.86
38.6,3.120,577.17
38.7,3.126,577.49
38.8,3.131,577.80
38.9,3.137,578.11
39,3.142,578.43
39.1,3.148,578.74
39.2,3.153,579.06
39.3,3.159,579.37
39.4,3.164,579.69
