Distance,RayParameter,TravelTime
140.2,1.813,1170.63
140.3,1.812,1170.81
140.4,1.810,1170.99
140.5,1.809,1171.17
140.6,1.807,1171.36
140.7,1.806,1171.54
140.8,1.805,1171.72
140.9,1.803,1171.90
141,1.801,1172.08
141.1,1.800,1172.26
141.2,1.798,1172.44
141.3,1.797,1172.62
141.4,1.795,1172.80
141.5,1.794,1172.98
141.6,1.792,1173.16
141.7,1.790,1173.33
141.8,1.789,1173.51
141.9,1.787,1173.69
142,1.785,1173.87
142.1,1.784,1174.05
142.2,1.782,1174.23
142.3,1.780,1174.41
142.4,1.778,1174.58
142.5,1.777,1174.76
142.6,1.775,1174.94
142.7,1.773,1175.12
142.8,1.771,1175.29
142.9,1.769,1175.47
143,1.768,1175.65
143.1,1.766,1175.82
143.2,1.764,1176.00
143.3,1.762,1176.18
143.4,1.760,1176.35
143.5,1.758,1176.53
143.6,1.756,1176.70
143.7,1.754,1176.88
143.8,1.752,1177.06
143.9,1.750,1177.23
144,1.748,1177.41
144.1,1.746,1177.58
144.2,1.744,1177.75
144.3,1.742,1177.93
144.4,1.739,1178.10
144.5,1.737,1178.28
144.6,1.735,1178.45
144.7,1.733,1178.62
144.8,1.731,1178.80
144.9,1.728,1178.97
145,1.726,1179.14
145.1,1.724,1179.31
145.2,1.721,1179.49
145.3,1.719,1179.66
145.4,1.717,1179.83
145.5,1.714,1180.00
145.6,1.712,1180.17
145.7,1.709,1180.34
145.8,1.707,1180.52
145.9,1.705,1180.69
146,1.702,1180.86
146.1,1.699,1181.03
146.2,1.697,1181.20
146.3,1.694,1181.37
146.4,1.692,1181.54
146.5,1.689,1181.70
146.6,1.687,1181.87
146.7,1.684,1182.04
146.8,1.681,1182.21
146.9,1.678,1182.38
147,1.676,1182.55
147.1,1.673,1182.71
147.2,1.670,1182.88
147.3,1.667,1183.05
147.4,1.665,1183.21
147.5,1.662,1183.38
147.6,1.659,1183.55
147.7,1.656,1183.71
147.8,1.653,1183.88
147.9,1.650,1184.04
148,1.647,1184.21
148.1,1.644,1184.37
148.2,1.641,1184.54
148.3,1.638,1184.70
148.4,1.635,1184.86
148.5,1.632,1185.03
148.6,1.629,1185.19
148.7,1.625,1185.35
148.8,1.622,1185.51
148.9,1.619,1185.68
149,1.616,1185.84
149.1,1.613,1186.00
149.2,1.609,1186.16
149.3,1.606,1186.32
149.4,1.603,1186.48
149.5,1.599,1186.64
149.6,1.596,1186.80
149.7,1.590,1186.96
149.8,1.585,1187.12
149.9,1.581,1187.28
150,1.577,1187.44
150.1,1.573,1187.59
150.2,1.569,1187.75
150.3,1.565,1187.91
150.4,1.561,1188.06
150.5,1.557,1188.22
150.6,1.553,1188.38
150.7,1.549,1188.53
150.8,1.545,1188.69
150.9,1.540,1188.84
151,1.536,1188.99
151.1,1.532,1189.15
151.2,1.528,1189.30
151.3,1.524,1189.45
151.4,1.519,1189.60
151.5,1.515,1189.76
151.6,1.512,1189.91
151.7,1.509,1190.06
151.8,1.505,1190.21
151.9,1.501,1190.36
152,1.498,1190.51
152.1,1.494,1190.66
152.2,1.490,1190.81
152.3,1.486,1190.96
152.4,1.482,1191.11
152.5,1.478,1191.25
152.6,1.474,1191.40
152.7,1.470,1191.55
152.8,1.465,1191.69
152.9,1.461,1191.84
153,1.457,1191.99
153.1,1.453,1192.13
153.2,1.448,1192.28
153.3,1.444,1192.42
153.4,1.440,1192.57
153.5,1.435,1192.71
153.6,1.431,1192.85
153.7,1.427,1193.00
153.8,1.423,1193.14
153.9,1.419,1193.28
154,1.415,1193.42
154.1,1.410,1193.56
154.2,1.406,1193.70
154.3,1.401,1193.85
154.4,1.397,1193.98
154.5,1.392,1194.12
154.6,1.388,1194.26
154.7,1.383,1194.40
154.8,1.379,1194.54
154.9,1.374,1194.68
155,1.370,1194.81
155.1,1.365,1194.95
155.2,1.360,1195.09
155.3,1.355,1195.22
155.4,1.351,1195.36
155.5,1.347,1195.49
155.6,1.342,1195.63
155.7,1.338,1195.76
155.8,1.333,1195.90
155.9,1.328,1196.03
156,1.323,1196.16
156.1,1.319,1196.29
156.2,1.314,1196.43
156.3,1.309,1196.56
156.4,1.304,1196.69
156.5,1.300,1196.82
156.6,1.295,1196.95
156.7,1.290,1197.08
156.8,1.285,1197.20
156.9,1.280,1197.33
157,1.275,1197.46
157.1,1.270,1197.59
157.2,1.266,1197.71
157.3,1.261,1197.84
157.4,1.256,1197.97
157.5,1.251,1198.09
157.6,1.246,1198.22
157.7,1.242,1198.34
157.8,1.237,1198.47
157.9,1.231,1198.59
158,1.226,1198.71
158.1,1.221,1198.83
158.2,1.216,1198.96
158.3,1.211,1199.08
158.4,1.206,1199.20
158.5,1.201,1199.32
158.6,1.196,1199.44
158.7,1.191,1199.56
158.8,1.186,1199.68
158.9,1.181,1199.80
159,1.176,1199.91
159.1,1.171,1200.03
159.2,1.166,1200.15
159.3,1.161,1200.26
159.4,1.156,1200.38
159.5,1.151,1200.49
159.6,1.146,1200.61
159.7,1.140,1200.72
159.8,1.135,1200.84
159.9,1.130,1200.95
160,1.124,1201.06
160.1,1.119,1201.18
160.2,1.113,1201.29
160.3,1.108,1201.40
160.4,1.104,1201.51
160.5,1.099,1201.62
160.6,1.094,1201.73
160.7,1.088,1201.84
160.8,1.083,1201.95
160.9,1.078,1202.05
161,1.073,1202.16
161.1,1.067,1202.27
161.2,1.062,1202.38
161.3,1.056,1202.48
161.4,1.051,1202.59
161.5,1.045,1202.69
161.6,1.040,1202.80
161.7,1.034,1202.90
161.8,1.029,1203.00
161.9,1.024,1203.11
162,1.019,1203.21
162.1,1.014,1203.31
162.2,1.009,1203.41
162.3,1.004,1203.51
162.4,0.998,1203.61
162.5,0.993,1203.71
162.6,0.988,1203.81
162.7,0.982,1203.91
162.8,0.977,1204.01
